patent_id,related_doc_number,published_country,related_doc_type,related_doc_kind,related_doc_published_date,related_doc_sequence
10489843,11023199,US,division,parent-doc,2004-12-27,6
10764187,9609128,US,continuation,parent-grant-document,2017-03-28,4
6926693,20030149405,US,related-publication,,2003-08-07,0
8712001,60818100,US,us-provisional-application,,2006-06-30,0
9850892,13469413,US,continuation,parent-doc,2012-05-11,3
7166121,08659678,US,continuation-in-part,parent-doc,1996-06-05,5
10887190,20190296982,US,related-publication,,2019-09-26,0
10426889,60398259,US,us-provisional-application,,2002-07-24,9
9193783,13281510,US,continuation,child-doc,,3
10437317,15487426,US,continuation,parent-doc,2017-04-13,0
11329142,16284422,US,division,parent-doc,2019-02-25,0
10197204,62298187,US,us-provisional-application,,2016-02-22,0
8391522,20100278365,US,related-publication,,2010-11-04,0
7969377,7843393,US,division,parent-grant-document,2010-11-30,1
9478798,14271498,US,continuation-in-part,parent-doc,2014-05-07,14
11283467,10361721,US,continuation,parent-grant-document,2019-07-23,4
8622155,11774227,US,continuation-in-part,child-doc,,8
8542771,12064563,US,continuation,parent-doc,,0
7610637,60489171,US,us-provisional-application,,2003-07-22,27
10896040,16111858,US,continuation,child-doc,,2
7284622,10850593,US,continuation,child-doc,,2
10926379,15241252,US,continuation,parent-doc,2016-08-19,0
6544414,20020040878,US,related-publication,,2002-04-11,1
11152468,20190115430,US,related-publication,,2019-04-18,0
D636389,29345277,US,continuation,parent-doc,2009-10-13,0
7724828,10612013,US,continuation,child-doc,,12
10443997,15361483,US,continuation,parent-doc,2016-11-27,0
6728849,20030115433,US,related-publication,,2003-06-19,0
8107484,12486136,US,continuation,child-doc,,1
8473596,7418702,US,division,parent-grant-document,,10
11345215,20190299748,US,related-publication,,2019-10-03,0
9055607,7460884,US,continuation,parent-grant-document,,1
7634640,11070843,US,continuation,child-doc,,1
10337955,20170097282,US,related-publication,,2017-04-06,2
10397410,13967076,US,continuation-in-part,parent-doc,2013-08-14,3
6645976,08765566,,continuation-in-part,child-doc,,0
9869490,20150090199,US,related-publication,,2015-04-02,0
8604222,20070259950,US,related-publication,,2007-11-08,0
9532250,20160255524,US,related-publication,,2016-09-01,0
8016251,20100140424,US,related-publication,,2010-06-10,3
7420605,10622109,US,continuation-in-part,parent-doc,2003-07-18,0
10947581,20200332347,US,related-publication,,2020-10-22,4
9316903,12393672,US,division,parent-doc,2009-02-26,0
9979549,20140075199,US,related-publication,,2014-03-13,0
6852091,08618583,US,continuation,child-doc,,8
9219117,20150303254,US,related-publication,,2015-10-22,0
6948618,09969696,US,continuation-in-part,parent-doc,2001-10-03,0
9702139,14944716,US,division,child-doc,,2
9453913,13407983,US,continuation,parent-doc,2012-02-29,0
9241942,12941530,US,continuation,child-doc,,5
10694075,20200059572,US,related-publication,,2020-02-20,0
10608144,62148761,US,us-provisional-application,,2015-04-17,3
10022066,20170265772,US,related-publication,,2017-09-21,3
10661473,62310284,US,us-provisional-application,,2016-03-18,0
10864492,10543173,US,continuation-in-part,parent-grant-document,,4
7443117,20070229009,US,related-publication,,2007-10-04,0
10953277,9630057,US,continuation,parent-grant-document,2017-04-25,7
8284546,20110216501,US,related-publication,,2011-09-08,4
8988607,7542096,US,continuation,parent-grant-document,2009-06-02,19
9191408,PCT/EP2011/069691,WO,continuation-in-part,parent-pct-document,2011-11-08,1
6344012,60154806,US,us-provisional-application,,1999-09-20,1
11216289,15978013,US,continuation,parent-doc,2018-05-11,0
10280943,20160319843,US,related-publication,,2016-11-03,1
11419977,15644214,US,division,parent-doc,2017-07-07,0
10515857,62564780,US,continuation,parent-doc,2017-09-28,0
8144598,7146000,US,continuation,parent-grant-document,2006-12-05,3
10650617,20190130660,US,related-publication,,2019-05-02,12
7901052,7618124,US,continuation,parent-grant-document,,1
11139579,20190393613,US,related-publication,,2019-12-26,2
9723324,60378643,US,us-provisional-application,,2002-05-09,23
11210674,14566723,US,continuation-in-part,parent-doc,2014-12-11,75
8448881,60851460,US,us-provisional-application,,2006-10-13,0
7196613,10644916,US,continuation,parent-doc,2003-08-21,0
7615381,11183484,US,continuation-in-part,parent-doc,2005-07-18,0
7792068,09627365,US,continuation,parent-doc,2000-07-28,0
RE38812,08465717,US,division,child-doc,,5
9115196,13276012,US,division,parent-doc,2011-10-18,0
8116301,08795798,US,continuation,parent-doc,1997-02-05,9
7943328,60921486,US,us-provisional-application,,2006-03-03,0
10831754,15682360,US,continuation,parent-doc,2017-08-21,0
8401263,08824968,US,continuation-in-part,parent-doc,1997-03-27,14
10219657,15084174,US,continuation-in-part,parent-doc,2016-03-29,3
8938580,13271137,US,continuation,parent-doc,2011-10-11,3
6559229,09310286,US,division,parent-doc,1999-05-12,1
8373167,11701710,US,division,parent-doc,2007-02-02,0
8450302,11779633,US,continuation,child-doc,,7
10657792,15874250,US,continuation,parent-doc,2018-01-18,0
9492384,12457953,US,continuation,parent-doc,2009-06-25,3
9344462,14320082,US,continuation,child-doc,,2
10904352,15463107,US,continuation,child-doc,,5
10678194,62518352,US,us-provisional-application,,2017-06-12,1
8768650,20130246003,US,related-publication,,2013-09-19,2
11449913,17209117,US,continuation,parent-doc,2021-03-22,2
7307095,20070123523,US,related-publication,,2007-05-31,4
10256446,20160359156,US,related-publication,,2016-12-08,0
