patent_id,cpc_sequence,cpc_section,cpc_class,cpc_subclass,cpc_group,cpc_type
10945329,0,H,H05,H05G,H05G1/10,inventional
11184297,3,H,H04,H04L,H04L49/9036,inventional
5587436,6,C,C08,C08J,C08J2323/10,additional
4670486,4,Y,Y10,Y10S,Y10S8/92,additional
10707641,2,H,H01,H01S,H01S5/042,inventional
11372002,3,A,A61,A61P,A61P43/00,inventional
6202586,0,B,B63,B63B,B63B21/30,inventional
6062620,1,B,B66,B66C,B66C1/10,inventional
9623612,7,F,F16,F16B,F16B23/0038,inventional
8769297,7,G,G06,G06K,G06K19/06037,inventional
6525556,2,G,G09,G09G,G09G3/3648,inventional
10325717,10,Y,Y02,Y02T,Y02T10/7072,additional
9775757,12,A,A61,A61G,A61G5/128,inventional
10372462,2,H,H04,H04L,H04L41/0806,inventional
7995091,309,H,H04,H04W,H04W76/45,additional
7515945,0,H,H04,H04W,H04W52/0216,inventional
11378851,4,H,H05,H05K,H05K1/189,additional
6569998,1,C,C07,C07K,C07K14/705,inventional
10572776,6,G,G06,G06V,G06V20/00,inventional
6867115,23,H,H01,H01L,H01L2924/10329,additional
10383994,25,A,A61,A61M,A61M2205/364,additional
10664206,1,G,G06,G06F,G06F3/1204,inventional
6137063,15,H,H01,H01L,H01L2224/81141,additional
10198315,4,H,H03,H03M,H03M13/09,inventional
5450317,0,G,G06,G06Q,G06Q10/06,inventional
10856855,4,A,A61,A61B,A61B2010/045,additional
9416158,20,A,A61,A61K,A61K38/00,additional
4679872,0,H,H05,H05K,H05K7/1442,inventional
9268701,3,G,G06,G06F,G06F3/068,inventional
8685437,7,A,A61,A61K,A61K31/4525,inventional
9302013,1,A,A61,A61K,A61K9/0014,inventional
10875943,23,C,C09,C09J,C09J7/383,inventional
6647509,10,H,H04,H04L,H04L49/25,inventional
9630355,23,B,B29,B29C,B29C48/2886,additional
9946454,8,G,G09,G09G,G09G3/3208,inventional
8409065,12,B,B29,B29C,B29C66/8221,inventional
7887336,12,H,H01,H01L,H01L2924/01013,additional
10973886,3,A,A61,A61K,A61K9/0053,inventional
9518921,9,G,G01,G01N,G01N33/54326,inventional
4543301,2,Y,Y10,Y10S,Y10S428/90,additional
10129444,6,H,H01,H01L,H01L27/14643,inventional
5013655,0,C,C12,C12N,C12N1/14,inventional
6242237,4,C,C12,C12N,C12N9/2468,inventional
6828289,1,C,C11,C11D,C11D3/0073,inventional
11272095,1,H,H04,H04N,H04N1/407,inventional
9136384,6,H,H01,H01L,H01L21/26513,inventional
7873798,2,H,H04,H04N,H04N21/25891,inventional
8460740,3,A,A23,A23B,A23B7/085,inventional
10312204,8,H,H01,H01L,H01L24/05,inventional
10960652,19,B,B32,B32B,B32B2262/12,additional
9345938,10,B,B29,B29L,B29L2031/5227,additional
11062927,9,H,H01,H01L,H01L2221/68381,additional
10559777,3,H,H01,H01L,H01L51/0043,inventional
8846375,26,C,C12,C12Y,C12Y203/01179,additional
5294141,3,A,A61,A61G,A61G5/107,additional
9722810,2,H,H04,H04L,H04L47/32,inventional
11011116,11,G,G09,G09G,G09G2310/0289,additional
7159282,6,Y,Y10,Y10T,Y10T24/2534,additional
9857877,1,G,G06,G06F,G06F1/163,inventional
10276404,14,H,H01,H01L,H01L23/49816,additional
3962143,2,H,H05,H05K,H05K1/097,additional
5757030,1,H,H01,H01L,H01L29/66757,inventional
10979911,0,H,H04,H04W,H04W16/28,inventional
10763072,0,H,H01,H01J,H01J37/05,inventional
9694164,1,A,A61,A61B,A61B17/282,inventional
8745061,1,G,G06,G06F,G06F16/2228,inventional
6418847,1,B,B65,B65H,B65H2301/42322,additional
10567701,1,G,G11,G11B,G11B27/031,inventional
10963381,11,G,G06,G06F,G06F16/9574,additional
6855212,7,Y,Y10,Y10T,Y10T428/12743,additional
10954629,4,D,D07,D07B,D07B2201/1096,additional
10582528,66,H,H04,H04W,H04W12/50,additional
5966084,3,B,B61,B61L,B61L25/028,inventional
6312724,1,A,A61,A61K,A61K31/196,inventional
10625561,0,B,B60,B60H,B60H1/00014,inventional
10288190,0,F,F16,F16K,F16K31/426,inventional
10103144,9,H,H01,H01L,H01L29/0649,inventional
10370668,2,A,A61,A61K,A61K47/549,inventional
9248862,1,B,B62,B62D,B62D25/025,inventional
11297137,6,G,G06,G06F,G06F3/0659,inventional
8896993,40,H,H01,H01H,H01H13/82,inventional
6391492,8,H,H01,H01M,H01M4/0419,inventional
8249815,75,G,G16,G16B,G16B5/00,inventional
9653381,1,H,H01,H01L,H01L21/762,inventional
8135203,1,G,G06,G06T,G06T7/0012,inventional
11390956,0,C,C25,C25B,C25B1/04,inventional
11182626,7,G,G06,G06T,G06T2207/30261,additional
10347052,1,G,G06,G06T,G06T2210/16,additional
4485777,2,F,F02,F02B,F02B2075/027,additional
5129639,4,G,G06,G06K,G06K15/00,inventional
10453176,2,G,G02,G02B,G02B27/0101,inventional
4612729,4,E,E05,E05Y,E05Y2201/22,additional
10468113,8,G,G11,G11C,G11C16/3427,inventional
10688431,3,B,B01,B01D,B01D46/42,inventional
10763695,10,Y,Y02,Y02E,Y02E40/70,additional
4394027,4,Y,Y10,Y10T,Y10T137/6881,additional
9091371,4,H,H01,H01J,H01J37/32834,inventional
6078471,4,G,G11,G11B,G11B25/043,inventional
5836031,8,G,G02,G02B,G02B6/3866,inventional
8206745,18,A,A61,A61K,A61K38/31,inventional
5602922,0,H,H04,H04S,H04S3/02,inventional
11413621,4,B,B01,B01L,B01L2200/0689,additional
10242022,1,G,G06,G06F,G06F16/11,inventional
7866534,16,H,H01,H01L,H01L2924/01047,additional
