patent_id,term_extension
8768312,672.0
7425458,361.0
8734538,81.0
11134634,203.0
6724573,282.0
6805751,116.0
7127653,348.0
7274380,978.0
11394611,36.0
7836669,676.0
8380166,1097.0
11180975,522.0
7716401,139.0
D251544,
7326511,190.0
7671761,298.0
5030707,
11259954,607.0
D620552,
D481364,
6785649,
8425747,246.0
D477112,
7369750,1476.0
9958548,679.0
8145352,
8190758,31.0
9975473,1.0
11382200,
8545083,212.0
7797177,2937.0
8317499,647.0
4801141,
9353770,906.0
11359604,359.0
7608669,136.0
10645234,148.0
8024229,257.0
7962733,158.0
9300134,726.0
D550086,
D419612,
10468756,35.0
7801260,895.0
7596911,306.0
10815348,166.0
D444539,
10381108,351.0
9005299,5.0
10356710,210.0
D519617,
8479316,351.0
7795451,155.0
7354802,7.0
D738030,
8592168,136.0
7389020,32.0
10019395,183.0
10846727,
D879078,
9919632,664.0
9561859,60.0
7554519,880.0
7550937,317.0
7306538,252.0
8519416,68.0
D304744,
10295084,45.0
10891027,
6914745,274.0
9350053,59.0
11146357,
7861718,953.0
6936141,163.0
10779102,
7060208,289.0
11277453,264.0
8061675,456.0
7328567,163.0
11040023,
7772485,635.0
7561819,218.0
7518028,521.0
8697201,1895.0
8772326,494.0
10649451,
D288833,
7922309,369.0
9046166,210.0
9772234,329.0
9142052,153.0
10342890,64.0
9491244,1018.0
9787501,562.0
6873387,287.0
9276820,809.0
8366378,655.0
10808313,
9302567,74.0
D957000,
PP33161,4.0
8963508,279.0
8345052,1138.0
10328394,907.0
10920300,377.0
7054868,165.0
D515064,
7610265,369.0
D526789,
D588170,
7014955,882.0
7440863,35.0
7091257,654.0
11069256,297.0
10603416,
9441132,492.0
11238334,105.0
9494408,193.0
7259077,111.0
7252409,42.0
4071142,
6581829,202.0
8584183,144.0
9222126,358.0
D415090,
7692008,
7191102,689.0
7508162,175.0
7614739,99.0
10812308,
6917838,6.0
7886656,701.0
7211957,345.0
D538628,
11224356,455.0
8546941,676.0
D422429,
10655574,83.0
11099087,179.0
8659746,812.0
7609334,46.0
10323619,525.0
7007916,55.0
D662447,
9065684,1044.0
8368182,489.0
D618368,
8337404,266.0
9050478,386.0
9191080,57.0
6865343,235.0
RE42851,
8266692,1044.0
9261088,374.0
8110822,183.0
7511090,252.0
8087084,1227.0
7720198,23.0
9071394,
9885522,1072.0
9039987,109.0
D472464,
7436263,801.0
6994808,41.0
8312327,735.0
9535885,750.0
9571588,466.0
7660144,583.0
7232959,100.0
10315750,426.0
D610933,
10803666,119.0
6647077,666.0
9085722,160.0
11370120,476.0
6871524,14.0
10187332,
7911530,2282.0
D665033,
6496962,98.0
10838430,215.0
6802992,858.0
7539100,533.0
D757886,
7601999,762.0
11215447,287.0
9463571,4.0
10330320,400.0
D727435,
7029558,512.0
8782364,184.0
11068148,438.0
8529136,307.0
8282650,566.0
8121736,330.0
9114438,87.0
7810227,273.0
7438746,548.0
6664555,
8165257,722.0
7286446,758.0
9866344,7.0
10818003,27.0
10177342,25.0
8597336,751.0
D319898,
10203037,375.0
9122714,17.0
11252490,262.0
7809026,235.0
6914939,824.0
D949394,
7851605,280.0
9941035,3.0
D484313,
9879792,118.0
9476815,506.0
9769291,192.0
D834023,
8705384,605.0
D737737,
10070127,463.0
10936757,109.0
4994583,
6954991,56.0
7310772,290.0
10033127,277.0
9923938,113.0
8000121,361.0
8164970,415.0
9545764,147.0
10351771,307.0
8196653,214.0
7212749,
D599146,
7531928,495.0
9022141,248.0
7213257,1037.0
D872564,
9697632,146.0
7326585,246.0
7360088,639.0
8613014,58.0
8831838,237.0
8199428,247.0
9524190,258.0
D947999,
D728228,
8077895,736.0
D765347,
8132159,831.0
11427336,238.0
7466876,
8690092,273.0
7658302,278.0
8496596,755.0
8565882,
D333900,
10869667,315.0
8013188,596.0
D932890,
7433038,356.0
8593615,382.0
8307280,999.0
11143491,350.0
9218664,914.0
8002551,486.0
7119840,720.0
7736925,16.0
6962206,165.0
9091875,374.0
8191828,1036.0
10750853,77.0
8334875,800.0
10148715,
10845146,
7315493,741.0
9480931,178.0
8472065,
10940255,188.0
9317815,
10824150,
10443627,60.0
7165119,280.0
6965549,620.0
7016597,1147.0
8727845,45.0
10272993,
8044825,276.0
D941672,
10345320,613.0
9397704,
10859802,141.0
9379631,
7172723,147.0
7149033,32.0
9971023,443.0
10948103,126.0
D634637,
11016002,291.0
D611923,
8283131,500.0
8044973,868.0
10119997,133.0
7646827,834.0
11354118,
10746320,77.0
D830057,
8422395,738.0
9039612,302.0
D756577,
9080784,661.0
10301750,1022.0
6800231,
11160978,94.0
10956634,497.0
D706554,
10300798,926.0
9323901,791.0
8248718,62.0
7226492,54.0
D793601,
10132114,1432.0
7988391,317.0
8290757,753.0
10394340,
7824203,654.0
9229146,189.0
8975449,
5054394,
10568770,74.0
9364720,510.0
6962403,
10446937,
9570945,888.0
9739467,208.0
6826813,211.0
D769640,
8387416,662.0
9171818,323.0
D258485,
9587341,1030.0
D471063,
10936622,287.0
9531678,126.0
8042954,966.0
7380230,206.0
10988103,106.0
D438810,
7310136,195.0
11172747,772.0
6852026,349.0
10410386,221.0
9093863,848.0
9544559,71.0
8810769,656.0
8639716,
8992611,555.0
4349336,
6917739,23.0
9987626,224.0
D636599,
D250009,
9182345,119.0
10183748,
8375286,1926.0
9822436,2505.0
D932446,
11359554,149.0
10930480,
7474321,490.0
7833913,810.0
11365502,162.0
7782936,812.0
10971533,166.0
7692814,1015.0
9635592,
10750746,
9848374,50.0
10846230,32.0
7268782,68.0
D312094,
8790428,982.0
7047996,56.0
D324220,
7518807,60.0
D464298,
8246155,660.0
7539416,490.0
9837140,
10057042,170.0
5246282,
10173876,
D515278,
7895555,295.0
D853312,
11457354,157.0
7869607,81.0
9497484,315.0
10138421,9.0
7889174,1058.0
9116657,1133.0
8072329,620.0
10645698,23.0
9001293,151.0
10492597,228.0
D290213,
10355682,
10285714,251.0
7837532,270.0
8225946,900.0
6372241,
8150175,681.0
D362738,
7566662,286.0
10500624,231.0
10258963,157.0
10976414,421.0
D722222,
9119142,158.0
D252626,
10906622,124.0
10928514,337.0
7425769,73.0
6863728,
5026566,
9201655,1729.0
D305168,
8465676,130.0
10941742,189.0
7731140,789.0
8630956,73.0
8699694,488.0
7808700,343.0
8172941,1165.0
7516338,314.0
8036243,208.0
11097942,287.0
6580215,173.0
8050998,886.0
7958387,300.0
7523798,459.0
D602713,
7110422,986.0
D394965,
7125598,43.0
7252173,295.0
D560244,
7619633,320.0
D614902,
9338356,
7980522,829.0
10626020,3.0
8084202,412.0
8170029,428.0
9444737,58.0
7101418,408.0
8504755,533.0
D873755,
8893680,539.0
4289758,
8429715,1252.0
9867417,436.0
6877654,175.0
10098600,70.0
8202601,626.0
8055890,686.0
10446108,538.0
D779982,
D734020,
9572108,107.0
6601581,88.0
10528212,265.0
9584309,
D336169,
6973430,678.0
9162381,539.0
9404451,98.0
D860247,
4389196,
8467939,94.0
8884893,464.0
D249348,
9012801,465.0
