application_id,patent_id,patent_application_type,filing_date,series_code,rule_47_flag
2009/13056482,9060539,13,2009-07-30,13,0.0
2012/13712744,8908660,13,2012-12-12,13,0.0
2018/15943216,10560236,15,2018-04-02,15,0.0
06/293576,4445572,6,1981-08-17,6,0.0
2011/13295804,8612356,13,2011-11-14,13,0.0
09/756789,6740464,9,2001-01-10,9,0.0
09/239644,5960230,9,1999-01-28,9,0.0
05/681523,4018429,5,1976-04-29,5,0.0
2015/14839985,9513723,14,2015-08-30,14,0.0
07/425118,4942727,7,1989-10-23,7,0.0
2019/16595650,11008130,16,2019-10-08,16,0.0
08/814265,5865850,8,1997-03-10,8,0.0
09/355589,6316905,9,2000-02-03,9,0.0
8                                   ,5783471,08,1994-11-09,08,0.0
2002/10202874,6922185,10,2002-07-26,10,0.0
2015/14923647,9568923,14,2015-10-27,14,0.0
2018/29654154,D873158,29,2018-06-21,D,0.0
2018/16607265,11214748,16,2018-04-20,16,0.0
2007/11902505,7797902,11,2007-09-21,11,0.0
07/245178,4898500,7,1988-09-16,7,0.0
2018/16051640,10518697,16,2018-08-01,16,0.0
09/196279,6212474,9,1998-11-19,9,0.0
06/662808,4650639,6,1984-10-22,6,0.0
08/183192,5520886,8,1994-01-14,8,0.0
06/447122,4480294,6,1982-12-06,6,0.0
2008/12179570,8081228,12,2008-07-24,12,0.0
2003/10390019,7251713,10,2003-03-18,10,0.0
2005/11091094,7914934,11,2005-03-29,11,0.0
2006/11541740,7796195,11,2006-10-03,11,0.0
2009/12603616,8850067,12,2009-10-22,12,0.0
2021/29771344,D931504,29,2021-02-22,D,0.0
08/615360,5870138,8,1996-03-14,8,0.0
29/048719,D383572,29,1996-01-11,29,0.0
2009/12557160,8875179,12,2009-09-10,12,0.0
2012/13352616,8884372,13,2012-01-18,13,0.0
2004/10791893,6973844,10,2004-03-04,10,0.0
09/593182,6388620,9,2000-06-13,9,0.0
2005/11216496,7230504,11,2005-08-31,11,0.0
08/367638,5575760,8,1995-01-03,8,0.0
2013/15106534,11083553,15,2013-12-19,15,0.0
2012/13714540,9017346,13,2012-12-14,13,0.0
07/810275,5398186,7,1991-12-17,7,0.0
29/006781,D372173,29,1993-03-26,29,0.0
09/266638,6413604,9,1999-03-11,9,0.0
07/606606,5098624,7,1990-10-31,7,0.0
2020/16806324,11132624,16,2020-03-02,16,0.0
2010/12941021,8830923,12,2010-11-05,12,0.0
10/003890,6675838,10,2001-10-25,10,0.0
2016/29577771,D831615,29,2016-09-15,D,0.0
2009/12607869,7884271,12,2009-10-28,12,0.0
2016/15056905,10245688,15,2016-02-29,15,0.0
2004/10596631,7467986,10,2004-12-17,10,0.0
2013/13827555,9492099,13,2013-03-14,13,0.0
07/412073,4952316,7,1989-09-25,7,0.0
08/898763,5926993,8,1997-07-23,8,0.0
07/000934,D292060,7,1987-01-02,7,0.0
2009/12590485,7799247,12,2009-11-09,12,0.0
2003/10447940,7090639,10,2003-05-29,10,0.0
2003/10723303,6983722,10,2003-11-25,10,0.0
06/110255,4270900,6,1980-01-07,6,0.0
2014/15025491,10121916,15,2014-09-23,15,0.0
2007/29276437,D578749,29,2007-01-26,29,0.0
07/755482,5190510,7,1991-09-05,7,0.0
09/020640,5996511,9,1998-02-09,9,0.0
2009/12608536,8171027,12,2009-10-29,12,0.0
06/105283,4334373,6,1979-12-19,6,0.0
2006/29246806,D544004,29,2006-05-11,29,0.0
10/124275,6762349,10,2002-04-18,10,0.0
2003/29177892,D512399,29,2003-03-19,29,0.0
2008/12525386,8208204,12,2008-01-25,12,0.0
8                                   ,5825468,08,1996-07-24,08,0.0
08/594945,5652171,8,1996-01-31,8,0.0
29/035464,D367859,29,1995-02-28,29,0.0
05/381353,3973883,5,1973-07-20,5,0.0
06/355542,4533470,6,1982-03-01,6,0.0
2008/12135744,7938550,12,2008-06-09,12,0.0
2012/13466293,9167009,13,2012-05-08,13,0.0
