patent_id,published_or_filed_date,filed_country,application_kind,pct_doc_number,pct_doc_type
4507015,1982-03-16,WO,00,PCT/JP82/00072,pct_application
8899610,2011-03-24,WO,A,WO2011/034443,wo_grant
7189401,1999-04-09,WO,00,PCT/US99/07854,pct_application
6531469,2000-07-27,WO,A,WO00/43391,wo_grant
8992665,2010-11-19,WO,00,PCT/JP2010/006783,pct_application
5574819,1994-08-18,WO,A,WO94/18585,wo_grant
10598580,2016-06-23,WO,A,WO2016/100969,wo_grant
10119544,2014-05-15,WO,A,WO2014/072360,wo_grant
8551312,2007-11-27,WO,00,PCT/EP2007/062881,pct_application
6146078,1997-03-19,WO,00,PCT/US97/04389,pct_application
9313650,2013-10-22,WO,00,PCT/JP2013/078562,pct_application
11346156,2017-12-14,WO,00,PCT/IB2017/057916,pct_application
10927012,2018-02-01,WO,00,PCT/EP2018/052477,pct_application
9375161,2009-10-28,WO,00,PCT/US2009/062300,pct_application
7486152,2005-08-25,WO,A,WO2005/078915,wo_grant
8894128,2009-09-24,WO,A,WO2009/115763,wo_grant
5004088,1988-02-22,WO,00,PCT/GB88/00109,pct_application
8509151,2009-12-10,WO,A,WO2009/148126,wo_grant
10041085,2013-04-09,WO,00,PCT/CN2013/000406,pct_application
6251273,1998-01-14,WO,00,PCT/EP98/00172,pct_application
8692462,2011-02-17,WO,A,WO2011/018427,wo_grant
10392754,2016-10-13,WO,A,WO2016/164443,wo_grant
9096535,2013-08-22,WO,A,WO2013/120876,wo_grant
7248976,2005-02-10,WO,A,WO2005/013132,wo_grant
9227053,2009-05-01,WO,00,PCT/US2009/042539,pct_application
6226581,1999-01-14,WO,A,WO99/01320,wo_grant
9562229,2014-02-06,WO,00,PCT/US2014/015132,pct_application
7812244,2006-11-14,WO,00,PCT/IL2006/001310,pct_application
7763132,2004-08-26,WO,A,WO2004/072317,wo_grant
11087440,2018-05-30,WO,00,PCT/JP2018/020686,pct_application
10355213,2017-01-09,WO,00,PCT/US2017/012697,pct_application
6566989,2000-08-03,WO,A,WO00/45406,wo_grant
10495281,2016-11-04,WO,00,PCT/JP2016/082856,pct_application
11083326,2017-12-07,WO,A,WO2017/207919,wo_grant
11420928,2018-05-15,WO,00,PCT/JP2018/018753,pct_application
8350474,2011-07-07,WO,A,WO2011/080886,wo_grant
7828018,2007-11-15,WO,A,WO2007/129644,wo_grant
10834957,2017-11-30,WO,A,WO2017/203030,wo_grant
10908704,2018-03-23,WO,00,PCT/CN2018/080374,pct_application
9800704,2015-07-16,WO,A,WO2015/103841,wo_grant
8233419,2007-12-28,WO,00,PCT/CN2007/003868,pct_application
8181633,2010-06-24,WO,A,WO2010/071013,wo_grant
10916387,2018-09-27,WO,A,WO2018/172411,wo_grant
11263073,2018-08-30,WO,00,PCT/GB2018/052451,pct_application
9978975,2013-03-22,WO,00,PCT/JP2013/001947,pct_application
11350167,2018-11-22,WO,00,PCT/KR2018/014398,pct_application
7312224,2003-04-17,WO,A,WO03/031447,wo_grant
11421172,2018-01-17,WO,00,PCT/JP2018/001133,pct_application
10703607,2016-02-05,WO,00,PCT/EP2016/052484,pct_application
