patent_id,wipo_field_sequence,wipo_field_id,wipo_sector_title,wipo_field_title
6332696,1,12.0,Instruments,Control
4420808,0,32.0,Mechanical engineering,Transport
9573740,1,25.0,Mechanical engineering,Handling
10557837,1,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
10824027,0,9.0,Instruments,Optics
6689763,0,15.0,Chemistry,Biotechnology
10890715,1,2.0,Electrical engineering,Audio-visual technology
10554942,0,2.0,Electrical engineering,Audio-visual technology
7627021,0,3.0,Electrical engineering,Telecommunications
6966480,0,8.0,Electrical engineering,Semiconductors
8577578,0,32.0,Mechanical engineering,Transport
8414664,0,19.0,Chemistry,Basic materials chemistry 
7929242,0,2.0,Electrical engineering,Audio-visual technology
5014056,0,5.0,Electrical engineering,Basic communication processes
10151807,0,10.0,Instruments,Measurement
8155198,0,2.0,Electrical engineering,Audio-visual technology
10495917,2,8.0,Electrical engineering,Semiconductors
5978357,0,4.0,Electrical engineering,Digital communication
6770214,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
7981179,1,27.0,Mechanical engineering,"Engines, pumps, turbines"
10110671,0,4.0,Electrical engineering,Digital communication
10900068,0,15.0,Chemistry,Biotechnology
9671813,2,31.0,Mechanical engineering,Mechanical elements
9648151,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
5415078,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
6343208,0,3.0,Electrical engineering,Telecommunications
6446131,0,4.0,Electrical engineering,Digital communication
4780037,0,31.0,Mechanical engineering,Mechanical elements
11335828,0,8.0,Electrical engineering,Semiconductors
10032383,0,12.0,Instruments,Control
8119074,0,22.0,Chemistry,Micro-structural and nano-technology
8104251,0,29.0,Mechanical engineering,Other special machines
10755764,0,6.0,Electrical engineering,Computer technology
8922330,1,3.0,Electrical engineering,Telecommunications
7640897,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
4482840,1,22.0,Chemistry,Micro-structural and nano-technology
4164052,0,29.0,Mechanical engineering,Other special machines
5489631,0,29.0,Mechanical engineering,Other special machines
4968437,1,24.0,Chemistry,Environmental technology
10784201,0,8.0,Electrical engineering,Semiconductors
10657172,0,6.0,Electrical engineering,Computer technology
5173090,1,20.0,Chemistry,"Materials, metallurgy"
10679243,0,7.0,Electrical engineering,IT methods for management
9401010,0,6.0,Electrical engineering,Computer technology
8303956,1,16.0,Chemistry,Pharmaceuticals
9789039,0,14.0,Chemistry,Organic fine chemistry
9297519,0,9.0,Instruments,Optics
10806100,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
8732087,1,2.0,Electrical engineering,Audio-visual technology
8731555,0,4.0,Electrical engineering,Digital communication
8592233,0,8.0,Electrical engineering,Semiconductors
6505809,0,18.0,Chemistry,Food chemistry
6282902,1,20.0,Chemistry,"Materials, metallurgy"
7460487,0,4.0,Electrical engineering,Digital communication
8630814,0,10.0,Instruments,Measurement
9001921,1,3.0,Electrical engineering,Telecommunications
9474179,1,8.0,Electrical engineering,Semiconductors
5474907,1,15.0,Chemistry,Biotechnology
10756692,1,3.0,Electrical engineering,Telecommunications
5251543,0,29.0,Mechanical engineering,Other special machines
5389295,0,14.0,Chemistry,Organic fine chemistry
5951252,0,32.0,Mechanical engineering,Transport
4825819,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
4369402,0,12.0,Instruments,Control
9142721,0,8.0,Electrical engineering,Semiconductors
7088296,1,3.0,Electrical engineering,Telecommunications
7253865,0,9.0,Instruments,Optics
9450013,0,8.0,Electrical engineering,Semiconductors
7743531,0,34.0,Other fields,Other consumer goods
9786254,0,6.0,Electrical engineering,Computer technology
8135827,1,6.0,Electrical engineering,Computer technology
10574297,1,3.0,Electrical engineering,Telecommunications
7472608,0,10.0,Instruments,Measurement
4672374,1,12.0,Instruments,Control
9397191,0,8.0,Electrical engineering,Semiconductors
4245035,1,9.0,Instruments,Optics
10690783,0,24.0,Chemistry,Environmental technology
9152101,0,9.0,Instruments,Optics
6838219,0,9.0,Instruments,Optics
7897408,0,8.0,Electrical engineering,Semiconductors
10528230,2,4.0,Electrical engineering,Digital communication
4643899,1,18.0,Chemistry,Food chemistry
7815886,0,20.0,Chemistry,"Materials, metallurgy"
4097065,0,32.0,Mechanical engineering,Transport
