patent_id,citation_sequence,citation_application_id,citation_date,citation_category,citation_country
8373839,2,62-16931,1987-01-01,cited by applicant,JP
9670261,96,2005/049061,2005-06-01,cited by applicant,WO
11180682,0,2008026751,2008-03-01,cited by applicant,WO
11174810,10,102012211703,2014-01-01,cited by applicant,DE
9185176,44,WO-2005052627,2005-06-01,cited by applicant,WO
10183138,166,WO 98/48878,1998-11-01,cited by applicant,WO
8126601,5,100 45 921,2002-03-01,cited by other,DE
8426487,0,2006-002136,2006-05-01,cited by applicant,JP
8918807,59,0 624 039,1994-11-01,cited by applicant,EP
8498025,0,A-08-023420,1996-01-01,cited by applicant,JP
5474687,1,WO93/08268,1993-04-01,,WO
8096299,43,471029,1997-01-01,cited by other,EP
6400363,0,5184244,1993-07-01,cited by other,JP
11399243,4,3032857,2016-06-01,cited by applicant,EP
6142680,3,0 279 932,1988-08-01,,EP
8424179,12,99/43978,1999-09-01,cited by applicant,WO
8110573,1,711768,1996-05-01,cited by other,EP
11089812,125,WO 2010/113702,2010-10-01,cited by applicant,WO
11243031,4,2007-077839,2007-03-01,cited by applicant,JP
7560106,36,WO 2004/062592,2004-07-01,cited by other,WO
8342025,5,2005-241500,2005-09-01,cited by other,JP
10891727,2,104105640,2014-10-01,cited by applicant,CN
10427801,1,10013751,2001-10-01,cited by applicant,DE
6447835,1,10277144,1998-10-01,cited by other,JP
8602356,2,337522,1921-06-01,cited by applicant,DE
11350843,121,002220467-0008,2013-04-01,cited by applicant,EM
9387126,215,WO 2004/060148,2004-07-01,cited by applicant,WO
5536951,6,4-21349,1992-04-01,,JP
10550156,1,WO 2015/189342,2015-12-01,cited by applicant,WO
5238884,1,0183369,1982-11-01,,JP
9684175,382,A-11-260686,1999-09-01,cited by applicant,JP
10183112,169,WO 2008/137353,2008-11-01,cited by applicant,WO
10182969,34,2016041873,2016-03-01,cited by applicant,WO
9129294,11,3021327,1981-12-01,cited by applicant,DE
8523670,1,2001-104539,2001-04-01,cited by applicant,JP
10311147,5,2008-234427,2008-10-01,cited by applicant,JP
11109710,409,106923655,2017-07-01,cited by applicant,CN
D843596,2,2015/106118,2015-07-01,cited by applicant,WO
8786201,3,2006-210272,2006-08-01,cited by applicant,JP
8126793,121,WO 2004/010367,2004-01-01,cited by other,WO
8795061,8,2008/028148,2008-03-01,cited by applicant,WO
10228927,2,20130073374,2013-07-01,cited by applicant,KR
7988680,11,40 12 232,1991-10-01,cited by other,DE
10576956,1,101835664,2010-09-01,cited by applicant,CN
8446047,0,2004-182012,2004-07-01,cited by applicant,JP
10204734,79,2010-239838,2010-10-01,cited by applicant,JP
6978084,11,WO96/08010,1996-03-01,cited by other,WO
10084152,2,10-2005-0102937,2005-10-01,cited by applicant,KR
5919399,12,9412544,1994-06-01,,WO
5349042,0,0351168A3,1990-01-01,,EP
7043444,2,0 425 405,1991-05-01,cited by other,EP
8778348,26,WO2008021959,2008-02-01,cited by applicant,WO
9794003,204,00/74428,2000-12-01,cited by applicant,WO
8503650,70,WO-97/33421,1997-09-01,cited by applicant,WO
9976978,13,2003-75393,2003-03-01,cited by applicant,JP
10426481,1050,WO-9822154,1998-05-01,cited by applicant,WO
8696096,12,09-141883,1997-06-01,cited by applicant,JP
11096684,124,54176284,1979-12-01,cited by applicant,JP
10206821,60,WO 91/017787,1991-11-01,cited by applicant,WO
9590308,75,WO 98/01919,1998-01-01,cited by applicant,WO
11348311,1,102930047,2013-02-01,cited by applicant,CN
9034789,12,2004-244414,2004-09-01,cited by applicant,JP
6896695,4,WO 9807386,1998-02-01,cited by other,WO
10553141,21,1682267,2005-10-01,cited by applicant,CN
9377824,27,M398313,2011-02-01,cited by applicant,TW
11387542,2,2016/152603,2016-09-01,cited by applicant,WO
11160032,3,101939961,2011-01-01,cited by applicant,CN
9915671,18,9159596,1997-06-01,cited by applicant,JP
7664656,7,710125,2000-05-01,cited by other,EP
RE46142,0,0 599 311,1994-06-01,cited by applicant,EP
5428155,6,0485045A2,1992-05-01,,EP
9715875,278,01/35391,2001-05-01,cited by applicant,WO
8586614,26,200396,2002-07-01,cited by applicant,HU
11446774,23,WO/2015/108991,2015-07-01,cited by applicant,WO
10092570,85,WO 2006/008523,2006-01-01,cited by applicant,WO
9169317,4,WO 89/05975,1989-06-01,cited by applicant,WO
5994646,0,0 463 760-A1,1992-01-01,,EP
6830767,20,WO 97/25880,1997-07-01,cited by other,WO
8225181,14,2008026203,2008-03-01,cited by other,WO
10375283,5,2164295,2010-03-01,cited by applicant,EP
10148980,15,2013/051903,2013-04-01,cited by applicant,WO
6775632,2,WO99/53279,1999-10-01,cited by other,WO
