paper,author,affiliation1
2249766453,2245698085,1283155146
2899047899,2899420870,162827531
2103590332,2559187069,135117807
1966485247,2308745184,1323861001
2093008959,2543806677,1316902750
1600697457,1973173969,98251732
1980331699,1914663822,134820265
2329221490,2510586690,88192956
1984370299,2653610425,201448701
2518778632,2519673701,1299951241
1507194455,2114242527,118347220
2887831220,1818208101,862322245
2054606518,1824449885,135598925
2766917534,2765553990,104946051
2029405204,2350801284,130238516
2340414307,2013996404,193775966
2170374143,2645901332,16365422
2291659113,2599678050,130238516
2904655410,2330251415,4068193
2160802915,692337193,138689650
2097673673,2007070423,28407311
2167057178,2167539102,150744194
2359987139,2368957790,13985625
2118692311,2628627638,200845125
2168169019,2678502059,163151501
1946727492,2190438693,86958956
2067799340,2170206619,149251103
2063608183,2704694048,28166907
2073844518,1987641486,927257375
1039081209,2149934780,24359323
2048844098,2079732713,32021983
1520160944,2132948675,159650629
106430294,2588214872,39422238
1854208727,2101113297,142263535
2064278559,2825877761,887064364
1490801568,2233184049,1338503839
2112756246,2431894338,63634437
2136973822,1981457162,42570316
2286055136,2214398720,204657281
2130799071,2805371465,155781252
2061187658,2619645220,39534123
2107288378,1232297498,130238516
2032887629,2125510392,223532165
2013058724,837449673,9360294
1886007272,2641146856,70764802
2347925236,2378013671,16609230
1530922650,2403042046,154100212
2079369847,2129703602,203088144
2897961294,1681937448,1299303238
2035592077,2132961945,142651801
2369748401,2349526649,19820366
2080123583,1978092406,1292669757
1557493924,2346335522,2799803557
2172147459,2125003611,188538660
2416315129,2307813367,124055696
2410487723,100640553,2540865
1502287684,2507800755,91807558
2088056066,2330615141,1341412227
2507944480,2081682441,146655781
2139351869,2512040438,102664891
2482896710,2708945822,126231945
2008249061,2321316270,233843957
2797289246,2155421714,108290504
2008257481,2289439097,4575257
2763528624,2412339627,21491767
2019589441,1988573996,189158943
118806138,691598226,130442723
2369458751,2358551010,41198531
2110470502,2443515775,119025939
2072589749,2286596876,204136569
2520926154,2068862410,385303915
1534860928,2798079691,100532134
2082350395,2713157808,205237279
2736233098,2735773449,91732220
2083873286,2162148303,149899117
1512084885,1085207412,135598925
2040577672,201231190,2802359038
2788807004,2732970659,72951846
2002439257,2646766923,19820366
2103825268,438515092,1285764155
2547100056,2893575195,125839683
2276010925,2857469555,151201029
2084190345,2087613267,134820265
2024380063,2578419690,162254961
2050811914,2308302761,204465549
2073185451,2240260656,56085075
2597363722,2504354546,16528096
2154098848,2325839700,118892805
1993150537,2561090873,2699952
2912004963,2913152609,172901346
2065967845,2014490727,888641300
2798525419,2798580108,150229711
2374569391,2351861246,26080491
2838583038,2274383781,189090001
2765337839,2043405674,1294671590
2167217462,2628513127,133731052
2013897637,2098210200,1334819555
2804656167,2495475596,62916508
1033203263,2310269474,125602781
2027171832,2007373874,53964585
2023243355,2164114300,142934699
2010283177,2242333582,53110688
2078209250,2761216818,1294671590
1040835034,2263484643,1316910977
2081159555,2067001192,1285399213
2057774403,1912541189,889804353
2302205806,2110581801,146399215
2023636222,2282164925,47720641
2404944882,2399015657,1332737386
1997408057,1992410213,95457486
2521360559,2119782008,184942183
2439919197,2040132864,176453806
2063735089,2572508171,11923345
2055802097,2028196362,223532165
1796384888,1864146196,160368002
1847304534,2148330200,603884365
1974145237,1675108569,1294671590
2073166296,2440154796,57206974
2588012298,1544976447,149899117
2098290731,2150891722,36243813
2078441156,2137019772,79510175
2280924592,2277701676,1332737386
1902826153,2127333930,121748325
2472654882,2627450114,44504214
2032177401,2482771497,73613424
2110542534,737098973,201448701
2141165536,2884333238,2800555584
2693865678,2147808154,62804640
2784512954,1518493547,1313416372
1663496228,2136575268,19820366
2781904465,2781855941,102322142
1568443225,2415663053,106994412
2754949447,8908101,34352273
1963494774,2115047523,141882310
2131479265,2598181696,52357470
2070074117,2113775813,177725633
1967858335,2599878878,120230055
2043817429,2318142522,1324925910
1892352222,730422962,2613432
2045807907,331411361,16269868
2157787216,2631627212,57206974
2157485419,2466458892,74760111
2801570811,2640318004,130238516
2191518816,2476067013,38877650
2887554168,2648880336,87445476
2052523009,2484395793,123044942
1983126021,2570017557,135714990
1826947552,1504638573,63966007
2025855477,2205058607,20089843
2072097115,2428571665,1335927249
2064864137,2539028869,88830068
1534495767,120130959,157674565
2783347428,2741622888,20231570
2808076636,2326633073,103775301
2050234834,2519519650,70745867
2330883633,2333599884,52418104
2064224573,2165219248,157674565
1563752787,864175468,174404548
2488140099,1993904974,17974374
2769136301,2770326503,70764802
2727875856,2125949905,19820366
1967418150,2265946932,43406934
237465826,1992339972,1324840837
2518534416,1829265177,900890020
1643091225,2064228795,60587646
2736589112,2255582927,181391015
752646878,2139003671,879563668
2122357747,2836381727,887064364
2073818145,1544792324,58956616
2009396705,2064869806,83816512
2085457571,2582949827,35440088
2321012860,2556119385,126307644
2908486994,2902547464,111979921
2042376175,2481116858,9842412
2407821145,2155021992,196349391
1986061865,2553488191,181369854
1583537972,2113016136,170203145
2799963905,2628006458,1925986
2003520996,2189559057,186771145
