paper_id,FoS_list,research_area
6393365,"154954056,9390403,99272414,78519656,96926464,35377427,2781448223,80192629,127413603",Engineering:0.69_Computer science:0.11_Political science:0.07_Materials science:0.07_Medicine:0.03_Biology:0.03
6504531,"185592680,59822182,2780414537",Biology:0.67_Chemistry:0.33
6513294,"78201319,33923547,156996364,4305246,48372109,97970142,154579607,173734053,108801101,80444323",Mathematics:0.47_Computer science:0.26_Engineering:0.17_Physics:0.05_Materials science:0.03_Political science:0.03
6548571,"107646953,17744445,29456083",Political science:0.33_Medicine:0.33_Economics:0.17_Engineering:0.08_Business:0.08
6600312,"144024400,2992757693,71376074,199539241,8614519",Political science:0.4_Psychology:0.28_Sociology:0.2_Economics:0.07_Medicine:0.05
6710321,"58640448,142362112,2779947927,15708023",Art:0.46_Geography:0.33_Philosophy:0.21
6717932,"29456083,138885662",Medicine:0.5_Philosophy:0.5
6742195,"197321923,86803240,144027150,40760194,2778218555,75002045,59822182,44670240,178165689",Biology:0.78_Psychology:0.12_Geology:0.03_Materials science:0.03_Engineering:0.03
6769881,"3019230898,15744967,176935170,122980154,2908939975,138496976,120107772,2778468875,2994536203",Psychology:0.66_Medicine:0.14_Mathematics:0.12_Philosophy:0.06_Biology:0.02
6809145,"159019668,9354725,159110408,518773536,160735492,126397004,198231283,1039755,71924100,2908647359",Medicine:0.65_Economics:0.1_Physics:0.07_Psychology:0.07_Philosophy:0.07_Political science:0.04
6814862,"2992604169,192562407,136525101,57401468,115704247",Chemistry:0.4_Medicine:0.3_Materials science:0.2_Biology:0.1
6822491,"88972607,97137747,25878781,537208039,205649164,137580998,6557445,3019187786",Biology:0.34_Geography:0.25_Mathematics:0.12_Physics:0.12_Chemistry:0.12_Medicine:0.03
6858673,"2778913731,192562407,2780017307,42360764,2910815421,2780157099,2781074174,2781448156,2778123984",Materials science:0.33_Chemistry:0.28_Engineering:0.28_Biology:0.08_Political science:0.03
6896021,"78519656,192562407,199639397",Engineering:0.67_Materials science:0.33
7326413,"74909509,2777935177,71924100",Medicine:0.83_Psychology:0.17
7337315,"58640448,33923547,2776993930,173727882",Mathematics:0.42_Geography:0.25_Biology:0.18_Medicine:0.15
7346974,"15744967,111472728,2777407727,188147891,192177671,97508593,11620657,2991889746,10559278,34048319",Psychology:0.43_Philosophy:0.27_Sociology:0.1_Mathematics:0.1_Engineering:0.05_Physics:0.05
7400112,15708023,Philosophy:0.5_Art:0.5
7558301,"29694066,36454342,2909223148,3019700376,141071460,71924100",Medicine:0.92_Engineering:0.04_Biology:0.04
7634902,"502942594,86803240,105702510,66640590,553184892,148738053,204232928,142724271,150194340,54009773,190283241,2776577112",Biology:0.59_Medicine:0.28_Chemistry:0.12
7674602,"52119013,517785266,2781174606,185592680,15708023,3018360069",Chemistry:0.48_Art:0.2_History:0.1_Philosophy:0.1_Engineering:0.07_Biology:0.05
7693363,"142546437,145097563,29122968,545542383,71924100,193137418,3018038924,526734887,166888038,83864248,138816342,203014093",Medicine:0.43_Economics:0.15_Biology:0.09_Geography:0.08_Sociology:0.05_Mathematics:0.05_Environmental science:0.05_Business:0.03_Computer science:0.03_History:0.03_Materials science:0.03
