entity_id,fos_list
2909224293,Medicine:0.5_Biology:0.25_Psychology:0.25
2778047236,Medicine:0.5_Biology:0.5
2909553158,-:0.0
2909394245,Biology:0.75_Medicine:0.25
2983581205,Computer science:0.75_Engineering:0.25
2909031636,Biology:0.6_Chemistry:0.36_Physics:0.04
2992171571,Medicine:0.5_Biology:0.5
2909357575,-:0.0
2908814185,Medicine:0.5_Biology:0.5
2910026540,Biology:1.0
3017558741,Medicine:0.5_Biology:0.5
2908567254,-:0.0
2908815637,Medicine:0.5_Biology:0.5
2908555154,Medicine:0.5_Biology:0.5
2909054740,Medicine:0.5_Biology:0.5
2911162281,Biology:0.67_Geology:0.33
2910027547,-:0.0
2909163639,Medicine:0.5_Biology:0.5
2911137523,-:0.0
2779905453,Biology:0.75_Medicine:0.25
2992468108,Physics:0.33_Computer science:0.33_Engineering:0.33
2909418240,Engineering:1.0
2780851986,Biology:0.67_Medicine:0.33
2991681903,Physics:0.44_Geography:0.22_Computer science:0.22_Political science:0.11
2910449359,-:0.0
2908712536,Medicine:0.5_Biology:0.5
2910354918,-:0.0
2909988661,Biology:1.0
2781392746,Biology:0.8_Geography:0.2
2776231411,-:0.0
2910409012,-:0.0
2776949588,Physics:0.58_Mathematics:0.25_Geology:0.08_Geography:0.08
