entity_id,patent_id,mag_name,patent_name
3010172548.0,11399626,Shuai Chen,Shuai Chen
3010730536.0,8933269,Xiaobo Liu,Xiaobo Liu
3014273469.0,11250331,Hai Wang,Hai Wang
3015428076.0,11454112,Peng Lu,Peng Lu
3019072264.0,10815132,Zhou Yan,Yan Zhou
3019076105.0,10504200,Jian Zhao,Jian Zhao
3019709913.0,10275184,Hui Jin,Hui Jin
3019983280.0,6301031,Yuan Li,Yuan Li
3021988861.0,9733402,Wei Wu,Wei Wu
3024116190.0,6377360,Yutaka Hattori,Yutaka Hattori
3024241017.0,10129830,Jing Zhu,Jing Zhu
3026116106.0,D764391,Bin Shen,Bin Shen
3026702883.0,"10303364, 10137482",Fan Zhang,"Fan Zhang, Fan Zhang"
3028257656.0,9359478,Liwei Zhang,Liwei Zhang
3028625183.0,"11255937, D933504, 8793405, 10273886",Wei Liu,"Wei Liu, Wei Liu, Wei Liu, Wei Liu"
3029111481.0,7176208,Ying Sun,Ying Sun
3030125520.0,10401190,Xu Zhang,Xu Zhang
3030311063.0,10732191,Zhen Zhang,Zhen Zhang
3030558451.0,"10162949, 9143505",Zhou Lu,"Zhou Lu, Zhou Lu"
3032134044.0,8271538,Lei He,Lei He
3032395548.0,6032895,Li Zhao,Li Zhao
3032931650.0,11244158,Liang Li,Liang Li
3034338299.0,9166819,Yang Liu,Yang Liu
3035701262.0,"11055878, 9229677",Wei Wang,"Wei Wang, Wei Wang"
